Provincia;Municipio;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Rótulo;Tipo venta;Rem.;Horario;
ALICANTE;ALTEA;ALTEA;03590;PUERTO DEPORTIVO LUIS CAMPOMANES, S/N - PARTIDA MASCARAT;-0.003833;38.629556;1.68;;1.55;;;PETROL QUECHEN S.L.;Suministro a barcos deportivos o de recreo;dm;M-D: 10:00-18:00;
ALICANTE;CALPE/CALP;CALPE;03710;EXPLANADA DEL PUERTO PESQUERO S/N;0.069162;38.637313;;;;802.2;;COFRADIA DE PESCADORES DE CALPE;Mixto;dm;L-V: 08:00-13:30 y 15:30-19:30; S: 09:00-13:00
ALICANTE;DÉNIA;DENIA;03700;PUERTO PESQUERO DE DENIA S/N;0.113056;38.843611;;;;;640;NO HAY;Suministro a pesqueros;dm;L-V: 08:00-13:00 y 16:30-19:30;
ALICANTE;DÉNIA;DENIA;03700;DARSENA DE BABOR S/N PUERTO DE DENIA;0.119139;38.567556;1.669;;1.509;;;MARINA DE DENIA S.A;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
ALICANTE;GUARDAMAR DEL SEGURA;GUARDAMAR DEL SEGURA;03140;AVDA. DEL PUERTO.219;-0.646278;38.109;;;;;716;MARINA DE LAS DUNAS (REPSOL);Mixto;dm;L-D: 07:00-22:00;
ALICANTE;JÁVEA/XÀBIA;JÁVEA/XÀBIA;03730;BURDEOS, 1;0.186222;38.775722;1.841;;;;;NOU FONTANA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
ALICANTE;ORIHUELA;DEHESA DE CAMPOAMOR;03192;CALDERON DE LA BARCA, 2;-0.730588;37.910535;1.7;;1.5;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-14:00 y 16:00-21:00;
ALICANTE;SANTA POLA;SANTA POLA;03130;ZONA PORTUARIA, 35;-0.558583;38.187389;1.395;;1.285;;700;COFRADÍA DE PESCADORES;Mixto;dm;L-V: 09:00-13:00 y 16:00-20:00;
ALICANTE;SANTA POLA;SANTA POLA;03130;MUELLE NORTE S/N PUERTO DEPORTIVO 2;-0.560556;38.189306;1.435;;1.303;;;MARINA MIRAMAR;Mixto;dm;L-D: 24H;
ALICANTE;VILLAJOYOSA/VILA JOIOSA (LA);VILLAJOYOSA / VILA JOIOSA (LA);03570;PUERTO PESQUERO;-0.218833;38.506306;1.529;;1.369;;616;COFRADIA;Mixto;dm;L-V: 08:00-21:00; S-D: 08:00-15:00
ALMERÍA;CARBONERAS;CARBONERAS;04140;MUELLE PESQUERO DE CARBONERAS, S/Nº;-1.897068;36.991802;1.629;;1.525;641;;REPSOL;Mixto;OM;L-D: 24H;
ALMERÍA;GARRUCHA;GARRUCHA;04630;PUERTO PESQUERO, S/Nº;-1.819013;37.181802;1.629;;1.525;641;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;
ASTURIAS;GIJÓN;GIJON;33201;EDIFICIO ANTIGUA RULA C/CLAUDIO ALVARGONZALEZ S/N;-5.666444;43.546472;1.63;;1.54;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
ASTURIAS;VALDÉS;LUARCA;33700;PUERTO PESQUERO S/N;-6.533389;43.546167;;;;679;;REPSOL;Suministro a pesqueros;OM;L: 14:00-18:00; J: 14:00-18:00
BALEARS (ILLES);ALCÚDIA;ALCUDIA;07400;PASEO MARITIMO, 1;3.134806;39.836944;1.68;;1.58;;;ALCUDIAMAR;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;
BALEARS (ILLES);ALCÚDIA;ALCUDIA;07400;ARRANQUE MUELLE PESQUERO, S/Nº;3.135361;39.83825;;;;701;;REPSOL;Suministro a pesqueros;OM;L-V: 09:00-14:00 y 15:00-18:00;
